Industry,Symbol
Utilities—Regulated Water,1129.HK
Auto & Truck Dealerships,1130.HK
Entertainment,1132.HK
Specialty Industrial Machinery,1133.HK
Medical Instruments & Supplies,1134.HK
Internet Retail,1137.HK
Marine Shipping,1138.HK
Asset Management,1140.HK
Capital Markets,1141.HK
Oil & Gas Refining & Marketing,1142.HK
Consumer Electronics,1143.HK
Marine Shipping,1145.HK
Apparel Manufacturing,1146.HK
Information Technology Services,1147.HK
Auto Parts,1148.HK
Luxury Goods,1150.HK
Food Distribution,1152.HK
Real Estate Services,1153.HK
Oil & Gas Equipment & Services,1156.HK
Farm & Heavy Construction Machinery,1157.HK
Entertainment,1159.HK
Asset Management,1160.HK
Personal Services,1161.HK
Security & Protection Services,1162.HK
Advertising Agencies,1163.HK
Uranium,1164.HK
Utilities—Renewable,1165.HK
Electrical Equipment & Parts,1166.HK
Biotechnology,1167.HK
Real Estate—Diversified,1168.HK
Footwear & Accessories,1170.HK
Thermal Coal,1171.HK
Specialty Business Services,1172.HK
Household & Personal Products,1173.HK
Real Estate—Development,1176.HK
Biotechnology,1177.HK
Lodging,1179.HK
Resorts & Casinos,1180.HK
Restaurants,1181.HK
Specialty Business Services,1182.HK
Engineering & Construction,1183.HK
Electronics & Computer Distribution,1184.HK
Utilities—Renewable,1185.HK
Engineering & Construction,1186.HK
Auto Parts,1188.HK
Lodging,1189.HK
Aerospace & Defense,1192.HK
Utilities—Regulated Gas,1193.HK
Gold,1194.HK
Real Estate—Diversified,1195.HK
Waste Management,1196.HK
"Furnishings, Fixtures & Appliances",1198.HK
Marine Shipping,1199.HK
Real Estate Services,1200.HK
Real Estate—Development,1201.HK
Communication Equipment,1202.HK
Steel,1203.HK
Information Technology Services,1204.HK
Other Industrial Metals & Mining,1205.HK
Electronic Components,1206.HK
Real Estate—Development,1207.HK
Copper,1208.HK
Real Estate Services,1209.HK
Grocery Stores,1210.HK
Auto Manufacturers,1211.HK
Electronics & Computer Distribution,1213.HK
Lodging,1215.HK
Banks—Regional,1216.HK
Asset Management,1217.HK
Real Estate—Development,1218.HK
Aluminum,1220.HK
Lodging,1221.HK
Conglomerates,1222.HK
Apparel Retail,1223.HK
Real Estate—Development,1224.HK
Capital Markets,1225.HK
Asset Management,1226.HK
Biotechnology,1228.HK
Thermal Coal,1229.HK
Packaged Foods,1230.HK
Steel,1231.HK
Real Estate—Development,1232.HK
Real Estate—Development,1233.HK
Apparel Manufacturing,1234.HK
Travel Services,1235.HK
"Furnishings, Fixtures & Appliances",1237.HK
Real Estate—Development,1238.HK
Packaging & Containers,1239.HK
Real Estate—Diversified,1240.HK
Auto Parts,1241.HK
Real Estate—Development,1243.HK
Biotechnology,1244.HK
Resorts & Casinos,1245.HK
Real Estate—Development,1246.HK
Apparel Manufacturing,1247.HK
Utilities—Renewable,1250.HK
Oil & Gas Integrated,1251.HK
Building Materials,1252.HK
Engineering & Construction,1253.HK
Footwear & Accessories,1255.HK
Utilities—Renewable,1257.HK
Copper,1258.HK
Household & Personal Products,1259.HK
Specialty Business Services,1260.HK
Packaged Foods,1262.HK
Computer Hardware,1263.HK
Utilities—Regulated Gas,1265.HK
Steel,1266.HK
Auto & Truck Dealerships,1268.HK
Auto Parts,1269.HK
Lodging,1270.HK
Engineering & Construction,1271.HK
Waste Management,1272.HK
Mortgage Finance,1273.HK
Thermal Coal,1277.HK
Real Estate—Development,1278.HK
Specialty Retail,1280.HK
Utilities—Independent Power Producers,1281.HK
Real Estate—Diversified,1282.HK
Engineering & Construction,1283.HK
Packaged Foods,1285.HK
Specialty Industrial Machinery,1286.HK
Banks—Diversified,1288.HK
Specialty Industrial Machinery,1289.HK
Mortgage Finance,1290.HK
Integrated Freight & Logistics,1292.HK
Auto & Truck Dealerships,1293.HK
Software—Application,1297.HK
Scientific & Technical Instruments,1298.HK
Insurance—Life,1299.HK
Communication Equipment,1300.HK
Engineering & Construction,1301.HK
Medical Devices,1302.HK
Thermal Coal,1303.HK
Electronic Components,1305.HK
Marine Shipping,1308.HK
Telecom Services,1310.HK
Drug Manufacturers—Specialty & Generic,1312.HK
Building Materials,1313.HK
Restaurants,1314.HK
Engineering & Construction,1315.HK
Auto Parts,1316.HK
Education & Training Services,1317.HK
Mortgage Finance,1319.HK
Real Estate—Development,1321.HK
Household & Personal Products,1323.HK
Entertainment,1326.HK
Luxury Goods,1327.HK
Asset Management,1328.HK
Real Estate—Diversified,1329.HK
Waste Management,1330.HK
Packaging & Containers,1332.HK
Utilities—Renewable,1335.HK
Insurance—Life,1336.HK
Household & Personal Products,1338.HK
Insurance—Property & Casualty,1339.HK
Packaged Foods,1340.HK
Rental & Leasing Services,1341.HK
Engineering & Construction,1343.HK
Pharmaceutical Retailers,1345.HK
Apparel Manufacturing,1346.HK
Semiconductors,1347.HK
Leisure,1348.HK
Drug Manufacturers—Specialty & Generic,1349.HK
Advertising Agencies,1351.HK
Lodging,1355.HK
Internet Content & Information,1357.HK
Medical Instruments & Supplies,1358.HK
Asset Management,1359.HK
Specialty Business Services,1360.HK
Footwear & Accessories,1361.HK
Electronics & Computer Distribution,1362.HK
Electrical Equipment & Parts,1366.HK
Apparel Retail,1368.HK
Steel,1370.HK
Gambling,1371.HK
Engineering & Construction,1372.HK
"Furnishings, Fixtures & Appliances",1373.HK
Capital Markets,1375.HK
Consulting Services,1376.HK
Aluminum,1378.HK
Real Estate Services,1379.HK
Other Industrial Metals & Mining,1380.HK
Waste Management,1381.HK
Textile Manufacturing,1382.HK
Real Estate—Diversified,1383.HK
Semiconductors,1385.HK
Real Estate Services,1387.HK
Apparel Manufacturing,1388.HK
Beverages—Wineries & Distilleries,1389.HK
Thermal Coal,1393.HK
Waste Management,1395.HK
Real Estate—Development,1396.HK
Waste Management,1397.HK
Banks—Diversified,1398.HK
Electrical Equipment & Parts,1399.HK
Textile Manufacturing,1400.HK
Consumer Electronics,1401.HK
Information Technology Services,1402.HK
Restaurants,1405.HK
Medical Instruments & Supplies,1406.HK
Utilities—Regulated Gas,1407.HK
Engineering & Construction,1408.HK
Software—Infrastructure,1410.HK
Paper & Paper Products,1412.HK
Engineering & Construction,1413.HK
Electronic Components,1415.HK
Engineering & Construction,1416.HK
Real Estate Services,1417.HK
"Furnishings, Fixtures & Appliances",1418.HK
Medical Care Facilities,1419.HK
Engineering & Construction,1420.HK
Solar,1421.HK
Apparel Manufacturing,1425.HK
REIT—Diversified,1426.HK
Real Estate—Diversified,1427.HK
Capital Markets,1428.HK
Engineering & Construction,1429.HK
Farm Products,1431.HK
Farm Products,1432.HK
Apparel Manufacturing,1433.HK
Packaging & Containers,1439.HK
Specialty Chemicals,1440.HK
Integrated Freight & Logistics,1442.HK
Restaurants,1443.HK
Beverages—Non-Alcoholic,1446.HK
Engineering & Construction,1447.HK
Personal Services,1448.HK
Education & Training Services,1449.HK
Software—Application,1450.HK
Packaging & Containers,1451.HK
Pollution & Treatment Controls,1452.HK
Household & Personal Products,1455.HK
Capital Markets,1456.HK
Packaged Foods,1458.HK
Engineering & Construction,1459.HK
Information Technology Services,1460.HK
Capital Markets,1461.HK
Specialty Business Services,1463.HK
Luxury Goods,1466.HK
Conglomerates,1468.HK
Capital Markets,1469.HK
Luxury Goods,1470.HK
Engineering & Construction,1472.HK
Communication Equipment,1473.HK
Packaged Foods,1475.HK
Capital Markets,1476.HK
Biotechnology,1477.HK
Electronic Components,1478.HK
Electronic Components,1480.HK
Publishing,1481.HK
Waste Management,1483.HK
Engineering & Construction,1486.HK
Restaurants,1488.HK
Engineering & Construction,1489.HK
Advertising Agencies,1490.HK
Engineering & Construction,1495.HK
Rental & Leasing Services,1496.HK
Drug Manufacturers—Specialty & Generic,1498.HK
Engineering & Construction,1499.HK
Engineering & Construction,1500.HK
Medical Instruments & Supplies,1501.HK
Real Estate Services,1502.HK
REIT—Office,1503.HK
Insurance—Reinsurance,1508.HK
Drug Manufacturers—Specialty & Generic,1513.HK
Medical Care Facilities,1515.HK
Real Estate Services,1516.HK
Medical Care Facilities,1518.HK
Apparel Manufacturing,1520.HK
Biotechnology,1521.HK
Information Technology Services,1522.HK
Communication Equipment,1523.HK
Education & Training Services,1525.HK
Medical Care Facilities,1526.HK
Pollution & Treatment Controls,1527.HK
Real Estate Services,1528.HK
Integrated Freight & Logistics,1529.HK
Biotechnology,1530.HK
Apparel Manufacturing,1532.HK
Specialty Industrial Machinery,1536.HK
Real Estate Services,1538.HK
Electrical Equipment & Parts,1539.HK
Specialty Business Services,1540.HK
Utilities—Regulated Water,1542.HK
Credit Services,1543.HK
Specialty Retail,1545.HK
Engineering & Construction,1546.HK
Engineering & Construction,1547.HK
Biotechnology,1548.HK
Marine Shipping,1549.HK
Banks—Regional,1551.HK
Steel,1553.HK
Oil & Gas E&P,1555.HK
Engineering & Construction,1556.HK
Engineering & Construction,1557.HK
Drug Manufacturers—Specialty & Generic,1558.HK
Engineering & Construction,1559.HK
Real Estate—Development,1560.HK
Specialty Chemicals,1561.HK
Education & Training Services,1563.HK
Education & Training Services,1565.HK
Entertainment,1566.HK
Consulting Services,1568.HK
Education & Training Services,1569.HK
Real Estate—Development,1570.HK
Auto Parts,1571.HK
Credit Services,1572.HK
"Furnishings, Fixtures & Appliances",1575.HK
Infrastructure Operations,1576.HK
Credit Services,1577.HK
Banks—Regional,1578.HK
Packaged Foods,1579.HK
Lumber & Wood Production,1580.HK
Rental & Leasing Services,1581.HK
Engineering & Construction,1582.HK
Packaged Foods,1583.HK
Auto Manufacturers,1585.HK
Specialty Business Services,1586.HK
Food Distribution,1587.HK
Software—Application,1588.HK
Engineering & Construction,1591.HK
Building Products & Equipment,1592.HK
Education & Training Services,1593.HK
Railroads,1596.HK
Specialty Industrial Machinery,1597.HK
Education & Training Services,1598.HK
Engineering & Construction,1599.HK
Utilities—Regulated Gas,1600.HK
Credit Services,1601.HK
Credit Services,1606.HK
Electrical Equipment & Parts,1608.HK
Engineering & Construction,1609.HK
Packaged Foods,1610.HK
Software—Infrastructure,1611.HK
Medical Devices,1612.HK
Communication Equipment,1613.HK
Engineering & Construction,1615.HK
Entertainment,1616.HK
Communication Equipment,1617.HK
Engineering & Construction,1618.HK
Travel Services,1620.HK
Oil & Gas Refining & Marketing,1621.HK
Real Estate—Development,1622.HK
Oil & Gas Equipment & Services,1623.HK
Packaging & Containers,1626.HK
Engineering & Construction,1627.HK
Real Estate—Development,1628.HK
Packaging & Containers,1629.HK
Engineering & Construction,1630.HK
Specialty Business Services,1631.HK
Electronics & Computer Distribution,1632.HK
Engineering & Construction,1633.HK
Utilities—Regulated Gas,1635.HK
Copper,1636.HK
Engineering & Construction,1637.HK
Real Estate—Development,1638.HK
Advertising Agencies,1640.HK
Drug Manufacturers—General,1643.HK
Specialty Industrial Machinery,1645.HK
Engineering & Construction,1647.HK
Consulting Services,1650.HK
Tools & Accessories,1651.HK
Drug Manufacturers—Specialty & Generic,1652.HK
Building Products & Equipment,1653.HK
Gambling,1655.HK
Engineering & Construction,1656.HK
Apparel Retail,1657.HK
Banks—Regional,1658.HK
Industrial Distribution,1660.HK
Entertainment,1661.HK
Engineering & Construction,1662.HK
Real Estate Services,1663.HK
Specialty Industrial Machinery,1665.HK
Drug Manufacturers—General,1666.HK
Real Estate—Development,1668.HK
Credit Services,1669.HK
Utilities—Independent Power Producers,1671.HK
Biotechnology,1672.HK
Specialty Industrial Machinery,1673.HK
Software—Application,1675.HK
Packaged Foods,1676.HK
Semiconductors,1679.HK
Resorts & Casinos,1680.HK
Drug Manufacturers—Specialty & Generic,1681.HK
Apparel Manufacturing,1682.HK
Engineering & Construction,1683.HK
Industrial Distribution,1685.HK
Real Estate Services,1686.HK
Packaging & Containers,1689.HK
"Furnishings, Fixtures & Appliances",1691.HK
Consumer Electronics,1692.HK
Engineering & Construction,1693.HK
Packaged Foods,1695.HK
Medical Devices,1696.HK
Asset Management,1697.HK
Internet Content & Information,1698.HK
Farm Products,1699.HK
Travel Services,1701.HK
Chemicals,1702.HK
Restaurants,1703.HK
Food Distribution,1705.HK
Engineering & Construction,1707.HK
Communication Equipment,1708.HK
Textile Manufacturing,1709.HK
Electrical Equipment & Parts,1710.HK
Specialty Retail,1711.HK
Gold,1712.HK
Utilities—Renewable,1713.HK
"Furnishings, Fixtures & Appliances",1715.HK
Advertising Agencies,1716.HK
Packaged Foods,1717.HK
Engineering & Construction,1718.HK
Marine Shipping,1719.HK
Communication Equipment,1720.HK
Metal Fabrication,1721.HK
Engineering & Construction,1722.HK
Telecom Services,1723.HK
Aerospace & Defense,1725.HK
Engineering & Construction,1726.HK
Engineering & Construction,1727.HK
Auto & Truck Dealerships,1728.HK
Electrical Equipment & Parts,1729.HK
Real Estate Services,1730.HK
Footwear & Accessories,1731.HK
Integrated Freight & Logistics,1732.HK
Thermal Coal,1733.HK
Engineering & Construction,1735.HK
Advertising Agencies,1736.HK
Integrated Freight & Logistics,1737.HK
Thermal Coal,1738.HK
Internet Content & Information,1739.HK
Entertainment,1740.HK
Engineering & Construction,1741.HK
Engineering & Construction,1742.HK
Travel Services,1745.HK
Engineering & Construction,1746.HK
Consumer Electronics,1747.HK
Marine Shipping,1748.HK
Apparel Manufacturing,1749.HK
Electrical Equipment & Parts,1750.HK
Engineering & Construction,1751.HK
Education & Training Services,1752.HK
Advertising Agencies,1753.HK
Real Estate Services,1755.HK
Education & Training Services,1756.HK
Engineering & Construction,1757.HK
Education & Training Services,1758.HK
Specialty Retail,1759.HK
Auto Parts,1760.HK
Internet Content & Information,1761.HK
Advertising Agencies,1762.HK
Medical Devices,1763.HK
Education & Training Services,1765.HK
Railroads,1766.HK
Packaged Foods,1767.HK
Education & Training Services,1769.HK
Auto & Truck Dealerships,1771.HK
Chemicals,1772.HK
Education & Training Services,1773.HK
Education & Training Services,1775.HK
Capital Markets,1776.HK
Real Estate—Development,1777.HK
Real Estate Services,1778.HK
Engineering & Construction,1780.HK
Software—Application,1782.HK
Engineering & Construction,1783.HK
Infrastructure Operations,1785.HK
Railroads,1786.HK
Gold,1787.HK
Capital Markets,1788.HK
Medical Devices,1789.HK
Waste Management,1790.HK
Electronic Gaming & Multimedia,1792.HK
Engineering & Construction,1793.HK
Textile Manufacturing,1795.HK
Building Products & Equipment,1796.HK
Education & Training Services,1797.HK
Utilities—Renewable,1798.HK
Solar,1799.HK
Engineering & Construction,1800.HK
Biotechnology,1801.HK
Engineering & Construction,1802.HK
Leisure,1803.HK
Software—Application,1808.HK
Auto Parts,1809.HK
Consumer Electronics,1810.HK
Utilities—Independent Power Producers,1811.HK
Paper & Paper Products,1812.HK
Real Estate—Development,1813.HK
Luxury Goods,1815.HK
Utilities—Independent Power Producers,1816.HK
Apparel Retail,1817.HK
Gold,1818.HK
Packaging & Containers,1820.HK
Real Estate Services,1821.HK
Lumber & Wood Production,1822.HK
Infrastructure Operations,1823.HK
Apparel Manufacturing,1825.HK
Engineering & Construction,1826.HK
Personal Services,1827.HK
Personal Services,1830.HK
Advertising Agencies,1831.HK
Lodging,1832.HK
Health Information Services,1833.HK
Asset Management,1835.HK
Footwear & Accessories,1836.HK
Packaged Foods,1837.HK
Real Estate—Development,1838.HK
Farm & Heavy Construction Machinery,1839.HK
Specialty Business Services,1841.HK
Footwear & Accessories,1842.HK
Restaurants,1843.HK
Waste Management,1845.HK
Medical Care Facilities,1846.HK
Building Materials,1847.HK
Rental & Leasing Services,1848.HK
Advertising Agencies,1849.HK
Security & Protection Services,1850.HK
Education & Training Services,1851.HK
Utilities—Independent Power Producers,1853.HK
Food Distribution,1854.HK
Engineering & Construction,1855.HK
Luxury Goods,1856.HK
Utilities—Regulated Water,1857.HK
Medical Devices,1858.HK
Entertainment,1859.HK
Advertising Agencies,1860.HK
Specialty Retail,1861.HK
Real Estate—Development,1862.HK
Engineering & Construction,1865.HK
Agricultural Inputs,1866.HK
Consulting Services,1867.HK
Electrical Equipment & Parts,1868.HK
Restaurants,1869.HK
Engineering & Construction,1870.HK
Education & Training Services,1871.HK
Auto & Truck Dealerships,1872.HK
Biotechnology,1873.HK
Biotechnology,1875.HK
Beverages—Brewers,1876.HK
Biotechnology,1877.HK
Thermal Coal,1878.HK
Specialty Retail,1880.HK
REIT—Hotel & Motel,1881.HK
Specialty Industrial Machinery,1882.HK
Telecom Services,1883.HK
Specialty Business Services,1884.HK
Electronic Components,1888.HK
Drug Manufacturers—Specialty & Generic,1889.HK
Education & Training Services,1890.HK
Metal Fabrication,1891.HK
Steel,1894.HK
Real Estate Services,1895.HK
Internet Content & Information,1896.HK
Building Products & Equipment,1897.HK
Thermal Coal,1898.HK
Auto Parts,1899.HK
Information Technology Services,1900.HK
Travel Services,1901.HK
Residential Construction,1902.HK
Engineering & Construction,1903.HK
Credit Services,1905.HK
Apparel Manufacturing,1906.HK
Chemicals,1907.HK
Real Estate—Development,1908.HK
Electronic Gaming & Multimedia,1909.HK
Footwear & Accessories,1910.HK
Capital Markets,1911.HK
Semiconductors,1912.HK
Luxury Goods,1913.HK
Credit Services,1915.HK
Banks—Regional,1916.HK
Advertising Agencies,1917.HK
Real Estate—Development,1918.HK
Marine Shipping,1919.HK
Engineering & Construction,1920.HK
Oil & Gas Equipment & Services,1921.HK
Real Estate Services,1922.HK
Household & Personal Products,1925.HK
Confectioners,1927.HK
Resorts & Casinos,1928.HK
Luxury Goods,1929.HK
Auto Parts,1930.HK
Medical Distribution,1931.HK
Specialty Chemicals,1932.HK
Software—Application,1933.HK
Education & Training Services,1935.HK
Farm Products,1936.HK
Building Products & Equipment,1937.HK
Steel,1938.HK
Specialty Retail,1939.HK
Utilities—Regulated Gas,1940.HK
Real Estate Services,1941.HK
Medical Instruments & Supplies,1942.HK
Building Materials,1943.HK
Financial Conglomerates,1945.HK
Medical Instruments & Supplies,1947.HK
Advertising Agencies,1948.HK
Information Technology Services,1949.HK
Specialty Chemicals,1950.HK
Medical Care Facilities,1951.HK
Biotechnology,1952.HK
Engineering & Construction,1953.HK
Specialty Business Services,1955.HK
Apparel Manufacturing,1957.HK
Auto Manufacturers,1958.HK
Auto & Truck Dealerships,1959.HK
Engineering & Construction,1960.HK
Electronic Gaming & Multimedia,1961.HK
Household & Personal Products,1962.HK
Banks—Regional,1963.HK
Real Estate—Diversified,1965.HK
Real Estate—Development,1966.HK
Semiconductors,1967.HK
Textile Manufacturing,1968.HK
Education & Training Services,1969.HK
Entertainment,1970.HK
Real Estate Services,1971.HK
Real Estate Services,1972.HK
Specialty Business Services,1975.HK
Engineering & Construction,1977.HK
Restaurants,1978.HK
Electrical Equipment & Parts,1979.HK
Internet Content & Information,1980.HK
Entertainment,1981.HK
Apparel Manufacturing,1982.HK
Banks—Regional,1983.HK
Information Technology Services,1985.HK
Specialty Chemicals,1986.HK
Engineering & Construction,1987.HK
Banks—Regional,1988.HK
Medical Care Facilities,1989.HK
Auto Parts,1991.HK
Travel Services,1992.HK
Advertising Agencies,1993.HK
Real Estate Services,1995.HK
Real Estate—Development,1996.HK
Real Estate Services,1997.HK
"Furnishings, Fixtures & Appliances",1999.HK
Communication Equipment,2000.HK
Education & Training Services,2001.HK
Paper & Paper Products,2002.HK
Credit Services,2003.HK
Drug Manufacturers—Specialty & Generic,2005.HK
Real Estate—Development,2007.HK
Internet Content & Information,2008.HK
Building Materials,2009.HK
Apparel Manufacturing,2011.HK
Oil & Gas E&P,2012.HK
Software—Application,2013.HK
Auto Manufacturers,2015.HK
Banks—Regional,2016.HK
Engineering & Construction,2017.HK
Communication Equipment,2018.HK
Real Estate—Development,2019.HK
Leisure,2020.HK
Electronic Gaming & Multimedia,2022.HK
Household & Personal Products,2023.HK
Auto Parts,2025.HK
Computer Hardware,2028.HK
Apparel Manufacturing,2030.HK
Household & Personal Products,2031.HK
Footwear & Accessories,2033.HK
Communication Equipment,2038.HK
Metal Fabrication,2039.HK
Real Estate Services,2048.HK
Credit Services,2051.HK
Integrated Freight & Logistics,2057.HK
Metal Fabrication,2060.HK
Banks—Regional,2066.HK
Engineering & Construction,2068.HK
Staffing & Employment Services,2076.HK
Aluminum,2078.HK
Real Estate Services,2080.HK
Security & Protection Services,2086.HK
Real Estate—Development,2088.HK
Drug Manufacturers—Specialty & Generic,2096.HK
Industrial Distribution,2098.HK
Other Precious Metals & Mining,2099.HK
Electronic Gaming & Multimedia,2100.HK
Internet Retail,2101.HK
Farm & Heavy Construction Machinery,2102.HK
Biotechnology,2105.HK
Real Estate Services,2107.HK
Engineering & Construction,2110.HK
Textile Manufacturing,2111.HK
Steel,2112.HK
Engineering & Construction,2113.HK
Building Products & Equipment,2115.HK
Specialty Chemicals,2116.HK
Real Estate—Development,2117.HK
Real Estate—Development,2118.HK
Beverages—Non-Alcoholic,2119.HK
Medical Care Facilities,2120.HK
Software—Infrastructure,2121.HK
Specialty Retail,2122.HK
Entertainment,2125.HK
Biotechnology,2126.HK
"Furnishings, Fixtures & Appliances",2127.HK
Building Products & Equipment,2128.HK
Trucking,2129.HK
Integrated Freight & Logistics,2130.HK
Advertising Agencies,2131.HK
Engineering & Construction,2132.HK
Medical Care Facilities,2135.HK
Department Stores,2136.HK
Biotechnology,2137.HK
Household & Personal Products,2138.HK
Banks—Regional,2139.HK
Biotechnology,2142.HK
Household & Personal Products,2145.HK
Real Estate Services,2146.HK
Packaged Foods,2147.HK
Internet Retail,2148.HK
Restaurants,2150.HK
Real Estate Services,2152.HK
Farm & Heavy Construction Machinery,2153.HK
Specialty Industrial Machinery,2155.HK
Real Estate Services,2156.HK
Biotechnology,2157.HK
Health Information Services,2158.HK
Health Information Services,2159.HK
Medical Devices,2160.HK
Drug Manufacturers—Specialty & Generic,2161.HK
Biotechnology,2162.HK
Engineering & Construction,2163.HK
Real Estate Services,2165.HK
Electronics & Computer Distribution,2166.HK
Software—Infrastructure,2167.HK
Real Estate Services,2168.HK
Railroads,2169.HK
Medical Devices,2170.HK
Biotechnology,2171.HK
Medical Devices,2172.HK
Education & Training Services,2175.HK
Information Technology Services,2176.HK
Household & Personal Products,2177.HK
Oil & Gas Equipment & Services,2178.HK
Biotechnology,2179.HK
Staffing & Employment Services,2180.HK
Biotechnology,2181.HK
Real Estate—Development,2183.HK
Biotechnology,2185.HK
Drug Manufacturers—General,2186.HK
Building Materials,2187.HK
Electrical Equipment & Parts,2188.HK
Medical Care Facilities,2189.HK
Medical Devices,2190.HK
Medical Distribution,2192.HK
Engineering & Construction,2193.HK
Engineering & Construction,2195.HK
Drug Manufacturers—Specialty & Generic,2196.HK
Biotechnology,2197.HK
Chemicals,2198.HK
Apparel Manufacturing,2199.HK
Real Estate—Development,2202.HK
Semiconductors,2203.HK
Real Estate Services,2205.HK
Real Estate Services,2207.HK
Specialty Industrial Machinery,2208.HK
Internet Retail,2209.HK
Real Estate Services,2210.HK
Pharmaceutical Retailers,2211.HK
Building Materials,2212.HK
Real Estate Services,2215.HK
Medical Devices,2216.HK
Restaurants,2217.HK
Beverages—Non-Alcoholic,2218.HK
Medical Care Facilities,2219.HK
Engineering & Construction,2221.HK
"Furnishings, Fixtures & Appliances",2222.HK
Textile Manufacturing,2223.HK
Staffing & Employment Services,2225.HK
Packaged Foods,2226.HK
Engineering & Construction,2227.HK
Entertainment,2230.HK
Real Estate—Development,2231.HK
Apparel Manufacturing,2232.HK
Building Materials,2233.HK
Medical Devices,2235.HK
Engineering & Construction,2236.HK
Other Industrial Metals & Mining,2237.HK
Auto Manufacturers,2238.HK
Security & Protection Services,2239.HK
Other Industrial Metals & Mining,2245.HK
Software—Application,2246.HK
Specialty Business Services,2250.HK
Health Information Services,2251.HK
Medical Devices,2252.HK
Leisure,2255.HK
Biotechnology,2256.HK
Biotechnology,2257.HK
Infrastructure Operations,2258.HK
Paper & Paper Products,2260.HK
Engineering & Construction,2262.HK
Capital Markets,2263.HK
Waste Management,2265.HK
Engineering & Construction,2266.HK
Biotechnology,2269.HK
Real Estate Services,2270.HK
Medical Care Facilities,2273.HK
Medical Instruments & Supplies,2276.HK
Real Estate Services,2278.HK
Medical Care Facilities,2279.HK
Information Technology Services,2280.HK
Utilities—Regulated Water,2281.HK
Resorts & Casinos,2282.HK
Specialty Chemicals,2283.HK
Specialty Industrial Machinery,2285.HK
Real Estate—Development,2286.HK
Real Estate—Development,2288.HK
Medical Distribution,2289.HK
Medical Devices,2291.HK
Real Estate Services,2292.HK
Medical Care Facilities,2293.HK
Engineering & Construction,2295.HK
Engineering & Construction,2296.HK
Medical Devices,2297.HK
Apparel Manufacturing,2298.HK
Textile Manufacturing,2299.HK
Electronics & Computer Distribution,2302.HK
Entertainment,2306.HK
Textile Manufacturing,2307.HK
Entertainment,2309.HK
Real Estate Services,2310.HK
Asset Management,2312.HK
Textile Manufacturing,2313.HK
Paper & Paper Products,2314.HK
Biotechnology,2315.HK
Packaged Foods,2317.HK
Insurance—Life,2318.HK
Packaged Foods,2319.HK
Packaging & Containers,2320.HK
Grocery Stores,2321.HK
Conglomerates,2322.HK
Electronic Components,2323.HK
Capital Markets,2324.HK
Diagnostics & Research,2325.HK
Other Industrial Metals & Mining,2326.HK
Conglomerates,2327.HK
Insurance—Property & Casualty,2328.HK
Real Estate—Development,2329.HK
Real Estate—Diversified,2330.HK
Leisure,2331.HK
Auto Manufacturers,2333.HK
Semiconductor Equipment & Materials,2336.HK
Oil & Gas Refining & Marketing,2337.HK
Specialty Industrial Machinery,2338.HK
Auto Parts,2339.HK
Real Estate Services,2340.HK
Chemicals,2341.HK
Communication Equipment,2342.HK
Marine Shipping,2343.HK
